date,temp_10_13,apparent_temp_10_13,humidity_10_13,wind_10_13,precip_10_13
2023-01-01,8.225,4.725,74.25,14.025,0.0
2023-01-02,8.35,5.85,76.5,8.075,0.0
2023-01-03,5.85,4.35,99.0,3.2,4.1
2023-01-04,14.575,13.975,89.5,10.125,0.0
2023-01-05,9.35,7.9750000000000005,95.5,7.125,0.30000000000000004
2023-01-06,6.175,3.8,93.25,8.375,0.4
2023-01-07,4.375,0.5249999999999999,69.0,10.5,0.0
2023-01-08,-0.32499999999999996,-4.0,60.5,4.6,0.0
2023-01-09,3.175,-0.575,67.75,8.55,0.0
2023-01-10,3.9,-0.6499999999999999,56.25,12.625,0.0
2023-01-11,-0.9750000000000001,-4.775,60.25,5.075,0.0
2023-01-12,3.05,-0.525,92.75,12.175,0.8
2023-01-13,11.1,8.825,91.25,15.05,0.5
2023-01-14,-1.475,-7.2,58.25,17.825,0.0
2023-01-15,-1.0499999999999998,-6.925000000000001,57.0,18.8,0.0
2023-01-16,0.7749999999999999,-3.425,43.75,6.5,0.0
2023-01-17,1.5,-2.075,47.25,2.95,0.0
2023-01-18,7.199999999999999,3.05,77.75,17.775,0.0
2023-01-19,3.45,1.0,93.0,5.325,3.4000000000000004
2023-01-20,6.075,2.175,79.5,15.5,0.4
2023-01-21,2.525,-1.975,60.5,12.175,0.0
2023-01-22,2.375,-1.875,64.0,10.975,0.0
2023-01-23,0.625,-2.925,97.0,9.975,8.1
2023-01-24,2.925,-2.175,57.75,16.025,0.0
2023-01-25,0.275,-2.675,78.0,2.9,1.3
2023-01-26,5.375,-0.4,65.0,24.625,0.0
2023-01-27,2.9,-1.075,60.5,8.95,0.0
2023-01-28,6.15,1.2,51.25,16.15,0.0
2023-01-29,6.325,2.725,67.75,10.7,0.0
2023-01-30,6.675,4.525,75.0,3.05,0.0
2023-01-31,1.025,-3.1,65.0,9.424999999999999,0.0
2023-02-01,-1.8499999999999999,-5.875,49.0,4.425,0.0
2023-02-02,0.22499999999999998,-4.975,32.75,11.525,0.0
2023-02-03,-7.8,-15.3,34.5,25.0,0.0
